,Company,PriceRs.,Day HighRs.
0,"
Rail Vikas Nigam
",491.05,498.50
1,"
Mazagon Dock Ship
",5685.80,5860.00
2,"
Ircon International
",307.75,315.80
3,"
Cochin Shipyard
",2837.60,2924.00
4,"
BEML
",5059.95,5488.00
5,"
Garden Reach Ship
",2710.65,2833.80
6,"
Raymond
",3229.50,3484.00
7,"
Bharat Electronics
",324.05,326.80
8,"
Reliance Industries
",3177.25,3197.00
9,"
Hindustan Aeron
",5552.00,5624.95
10,"
Data Patterns (I)
",3390.40,3655.00
11,"
Bharat Dynamics
",1731.85,1794.70
12,"
Railtel Corporation Of India Ltd.
",519.75,534.40
13,"
Housing & Urban Dev.
",328.45,339.45
14,"
NBCC (India)
",188.61,193.99
